2.02ms,488.90us,9.98ms,3091.10\nTransfer/sec:,1.01MB\n")
2.07ms,484.52us,5.60ms,3091.13\nTransfer/sec:,1.01MB\n")
64.14ms,264.24ms,2.00s,3091.13\nTransfer/sec:,1.01MB\n")
1.98ms,513.80us,13.19ms,3977.54\nTransfer/sec:,1.30MB\n")
1.96ms,483.61us,5.95ms,3977.47\nTransfer/sec:,1.30MB\n")
56.19ms,216.40ms,1.64s,3977.54\nTransfer/sec:,1.30MB\n")
1.90ms,540.89us,16.83ms,4908.77\nTransfer/sec:,1.60MB\n")
1.90ms,507.63us,11.00ms,4908.84\nTransfer/sec:,1.60MB\n")
1.73s,3.89s,24.04s,4908.83\nTransfer/sec:,1.60MB\n")
2.07ms,595.66us,17.14ms,5177.65\nTransfer/sec:,1.69MB\n")
2.03ms,569.10us,20.08ms,5177.69\nTransfer/sec:,1.69MB\n")
10.34s,9.76s,37.39s,3537.35\nTransfer/sec:,1.15MB\n")
2.16ms,712.79us,31.39ms,5163.57\nTransfer/sec:,1.68MB\n")
2.17ms,607.36us,20.08ms,5163.55\nTransfer/sec:,1.68MB\n")
3.25s,4.12s,15.02s,4709.01\nTransfer/sec:,1.54MB\n")
2.15ms,640.09us,32.66ms,5435.41\nTransfer/sec:,1.77MB\n")
2.14ms,570.96us,19.95ms,5435.40\nTransfer/sec:,1.77MB\n")
2.36s,4.54s,22.76s,4134.84\nTransfer/sec:,1.35MB\n")
7.38s,6.59s,24.04s,5121.70\nTransfer/sec:,1.67MB\n")
2.19ms,566.64us,14.34ms,6105.94\nTransfer/sec:,1.99MB\n")
2.22ms,0.97ms,44.45ms,6105.85\nTransfer/sec:,1.99MB\n")
275.58ms,1.01s,7.00s,6370.83\nTransfer/sec:,2.08MB\n")
2.78s,4.13s,14.76s,6370.76\nTransfer/sec:,2.08MB\n")
2.25ms,623.78us,15.42ms,6370.72\nTransfer/sec:,2.08MB\n")
2.21ms,0.86ms,40.00ms,6010.57\nTransfer/sec:,1.96MB\n")
5.74s,5.58s,21.94s,6351.72\nTransfer/sec:,2.07MB\n")
2.22ms,624.58us,21.02ms,6351.67\nTransfer/sec:,2.07MB\n")
2.25ms,736.04us,34.85ms,6207.90\nTransfer/sec:,2.02MB\n")
5.38s,5.62s,17.63s,5037.39\nTransfer/sec:,1.64MB\n")
2.24ms,751.19us,37.34ms,6207.91\nTransfer/sec:,2.02MB\n")
2.22ms,603.32us,23.15ms,5747.12\nTransfer/sec:,1.87MB\n")
1.83s,3.88s,21.05s,5747.35\nTransfer/sec:,1.87MB\n")
3.69s,5.02s,19.61s,5747.15\nTransfer/sec:,1.87MB\n")
2.22ms,728.85us,33.22ms,5805.13\nTransfer/sec:,1.89MB\n")
2.20ms,615.70us,27.55ms,5805.10\nTransfer/sec:,1.89MB\n")
6.92s,5.30s,26.18s,5802.00\nTransfer/sec:,1.89MB\n")
2.21ms,708.07us,34.75ms,6044.09\nTransfer/sec:,1.97MB\n")
2.22ms,655.24us,26.70ms,6043.95\nTransfer/sec:,1.97MB\n")
2.37s,4.00s,15.03s,5297.45\nTransfer/sec:,1.73MB\n")
65.87ms,331.06ms,3.30s,6052.08\nTransfer/sec:,1.97MB\n")
2.19ms,666.53us,27.07ms,6052.00\nTransfer/sec:,1.97MB\n")
2.20ms,567.99us,24.82ms,4512.22\nTransfer/sec:,1.47MB\n")
4.07s,4.91s,16.11s,5149.64\nTransfer/sec:,1.68MB\n")
2.22ms,647.62us,31.23ms,5149.67\nTransfer/sec:,1.68MB\n")
2.23ms,601.40us,22.51ms,5149.66\nTransfer/sec:,1.68MB\n")
3.36s,3.82s,15.00s,3640.66\nTransfer/sec:,1.19MB\n")
2.22ms,616.09us,27.86ms,3640.69\nTransfer/sec:,1.19MB\n")
2.27ms,808.73us,37.89ms,3640.65\nTransfer/sec:,1.19MB\n")
3.88s,6.48s,26.69s,2372.66\nTransfer/sec:,792.32KB\n")
2.63s,4.31s,17.50s,2372.56\nTransfer/sec:,792.28KB\n")
2.31ms,615.32us,41.44ms,2372.62\nTransfer/sec:,792.30KB\n")
2.39ms,0.98ms,36.10ms,1457.30\nTransfer/sec:,486.65KB\n")
1.06s,2.11s,11.77s,1465.23\nTransfer/sec:,489.30KB\n")
2.45ms,1.10ms,44.83ms,1465.22\nTransfer/sec:,489.29KB\n")
2.59ms,1.03ms,41.63ms,1118.51\nTransfer/sec:,373.51KB\n")
2.06s,2.55s,13.09s,1105.37\nTransfer/sec:,369.12KB\n")
2.35ms,491.33us,15.66ms,1118.50\nTransfer/sec:,373.51KB\n")
2.37ms,662.75us,31.14ms,990.54\nTransfer/sec:,330.78KB\n")
301.26ms,715.37ms,4.89s,990.57\nTransfer/sec:,330.79KB\n")
2.52ms,490.41us,9.50ms,990.57\nTransfer/sec:,330.79KB\n")
2.20ms,498.18us,17.36ms,884.67\nTransfer/sec:,295.42KB\n")
66.38ms,277.27ms,2.24s,884.65\nTransfer/sec:,295.42KB\n")
2.25ms,537.90us,17.86ms,884.67\nTransfer/sec:,295.43KB\n")
2.24ms,481.00us,13.26ms,885.65\nTransfer/sec:,295.75KB\n")
2.22ms,465.82us,10.30ms,885.67\nTransfer/sec:,295.76KB\n")
2.20ms,481.36us,10.12ms,885.66\nTransfer/sec:,295.75KB\n")
