2.29ms,530.71us,17.17ms,3091.14\nTransfer/sec:,1.01MB\n")
2.29ms,578.06us,25.90ms,3091.11\nTransfer/sec:,1.01MB\n")
2.31ms,523.49us,12.22ms,3091.11\nTransfer/sec:,1.01MB\n")
2.26ms,583.50us,21.25ms,3977.41\nTransfer/sec:,1.30MB\n")
4.84s,8.59s,48.01s,3878.95\nTransfer/sec:,1.26MB\n")
2.00ms,495.69us,10.32ms,3977.54\nTransfer/sec:,1.30MB\n")
1.92ms,507.20us,8.32ms,4908.88\nTransfer/sec:,1.60MB\n")
5.50s,7.47s,30.51s,4634.05\nTransfer/sec:,1.51MB\n")
1.49s,3.47s,18.24s,4908.83\nTransfer/sec:,1.60MB\n")
2.16ms,567.63us,19.15ms,5177.64\nTransfer/sec:,1.69MB\n")
2.13ms,561.07us,19.71ms,5177.58\nTransfer/sec:,1.69MB\n")
2.10s,3.94s,16.28s,5177.72\nTransfer/sec:,1.69MB\n")
1.16s,2.47s,10.98s,5163.68\nTransfer/sec:,1.68MB\n")
2.13ms,604.35us,22.37ms,5163.67\nTransfer/sec:,1.68MB\n")
2.15ms,555.94us,16.28ms,5163.64\nTransfer/sec:,1.68MB\n")
2.23ms,3.77ms,207.62ms,4774.66\nTransfer/sec:,1.56MB\n")
1.12s,2.20s,9.33s,5435.41\nTransfer/sec:,1.77MB\n")
2.11ms,546.97us,19.34ms,5435.42\nTransfer/sec:,1.77MB\n")
2.16ms,568.06us,15.14ms,6105.93\nTransfer/sec:,1.99MB\n")
2.12ms,563.45us,15.97ms,6105.98\nTransfer/sec:,1.99MB\n")
3.48s,3.92s,15.02s,6087.90\nTransfer/sec:,1.99MB\n")
2.17ms,593.65us,14.54ms,6370.66\nTransfer/sec:,2.08MB\n")
2.16ms,819.84us,31.18ms,6370.76\nTransfer/sec:,2.08MB\n")
2.13ms,0.91ms,45.60ms,6370.74\nTransfer/sec:,2.08MB\n")
2.12ms,577.28us,13.55ms,6351.72\nTransfer/sec:,2.07MB\n")
10.98s,9.56s,38.96s,4571.84\nTransfer/sec:,1.49MB\n")
5.06s,4.96s,16.03s,6351.80\nTransfer/sec:,2.07MB\n")
2.26ms,692.67us,24.83ms,6207.82\nTransfer/sec:,2.02MB\n")
2.23ms,812.96us,31.52ms,6207.88\nTransfer/sec:,2.02MB\n")
2.26ms,766.80us,26.64ms,6207.85\nTransfer/sec:,2.02MB\n")
2.25ms,612.07us,18.42ms,5747.15\nTransfer/sec:,1.87MB\n")
2.23ms,593.30us,17.89ms,5747.13\nTransfer/sec:,1.87MB\n")
1.63s,3.44s,15.02s,5635.21\nTransfer/sec:,1.84MB\n")
659.31ms,2.12s,13.35s,5805.08\nTransfer/sec:,1.89MB\n")
2.23ms,584.25us,18.30ms,5805.07\nTransfer/sec:,1.89MB\n")
2.18ms,572.33us,19.90ms,5805.07\nTransfer/sec:,1.89MB\n")
2.23ms,0.88ms,37.44ms,6044.07\nTransfer/sec:,1.97MB\n")
2.23ms,677.63us,28.78ms,6044.06\nTransfer/sec:,1.97MB\n")
2.22ms,590.29us,20.56ms,6043.91\nTransfer/sec:,1.97MB\n")
3.04s,5.07s,21.04s,6046.67\nTransfer/sec:,1.97MB\n")
4.69s,4.90s,14.70s,6051.89\nTransfer/sec:,1.97MB\n")
2.21ms,689.38us,33.86ms,6052.01\nTransfer/sec:,1.97MB\n")
2.25ms,627.73us,23.14ms,5149.69\nTransfer/sec:,1.68MB\n")
2.22ms,573.86us,20.40ms,5149.66\nTransfer/sec:,1.68MB\n")
2.22ms,548.81us,22.02ms,5149.65\nTransfer/sec:,1.68MB\n")
2.26ms,531.97us,18.59ms,3640.72\nTransfer/sec:,1.19MB\n")
2.22ms,565.68us,20.90ms,3640.74\nTransfer/sec:,1.19MB\n")
145.04ms,503.37ms,3.27s,3088.22\nTransfer/sec:,1.01MB\n")
2.32ms,501.74us,14.48ms,2372.59\nTransfer/sec:,792.29KB\n")
2.32ms,551.47us,24.08ms,2372.60\nTransfer/sec:,792.30KB\n")
2.36ms,782.59us,37.06ms,2372.59\nTransfer/sec:,792.29KB\n")
2.43ms,0.95ms,37.34ms,1465.23\nTransfer/sec:,489.29KB\n")
2.44ms,1.13ms,42.91ms,1465.24\nTransfer/sec:,489.30KB\n")
2.44ms,1.14ms,36.51ms,1465.24\nTransfer/sec:,489.30KB\n")
2.74ms,1.20ms,42.85ms,1109.36\nTransfer/sec:,370.45KB\n")
913.04ms,1.63s,7.44s,1118.53\nTransfer/sec:,373.52KB\n")
2.40ms,586.61us,19.39ms,1118.53\nTransfer/sec:,373.52KB\n")
2.43ms,615.64us,21.10ms,990.56\nTransfer/sec:,330.79KB\n")
30.63ms,137.68ms,1.14s,990.59\nTransfer/sec:,330.79KB\n")
2.31ms,507.17us,15.46ms,990.59\nTransfer/sec:,330.79KB\n")
55.99ms,281.22ms,2.34s,884.68\nTransfer/sec:,295.43KB\n")
2.24ms,523.61us,16.64ms,884.65\nTransfer/sec:,295.42KB\n")
2.27ms,470.70us,5.99ms,884.62\nTransfer/sec:,295.41KB\n")
16.51ms,87.50ms,869.38ms,885.66\nTransfer/sec:,295.76KB\n")
2.28ms,550.01us,20.78ms,885.68\nTransfer/sec:,295.76KB\n")
2.30ms,550.13us,22.94ms,885.67\nTransfer/sec:,295.76KB\n")
