2.79ms,775.35us,27.54ms,1287.36\nTransfer/sec:,429.90KB\n")
2.71ms,808.32us,24.27ms,1287.37\nTransfer/sec:,429.90KB\n")
148.16ms,515.14ms,3.27s,1287.37\nTransfer/sec:,429.90KB\n")
2.93ms,683.53us,20.61ms,1716.10\nTransfer/sec:,573.07KB\n")
2.96ms,0.91ms,32.27ms,1716.05\nTransfer/sec:,573.05KB\n")
154.39ms,523.53ms,3.27s,1716.07\nTransfer/sec:,573.06KB\n")
2.63ms,756.15us,23.68ms,2144.75\nTransfer/sec:,716.21KB\n")
2.63ms,609.88us,18.80ms,2144.70\nTransfer/sec:,716.19KB\n")
248.20ms,700.65ms,3.48s,2144.74\nTransfer/sec:,716.21KB\n")
2.53ms,696.11us,23.20ms,2573.43\nTransfer/sec:,859.36KB\n")
14.50ms,124.19ms,4.00s,2405.21\nTransfer/sec:,803.19KB\n")
5.20s,5.03s,18.40s,2573.44\nTransfer/sec:,859.37KB\n")
2.77ms,596.44us,13.19ms,3002.13\nTransfer/sec:,0.98MB\n")
2.81ms,1.03ms,44.67ms,3002.03\nTransfer/sec:,0.98MB\n")
1.70s,2.59s,9.17s,3002.10\nTransfer/sec:,0.98MB\n")
3.43ms,0.98ms,35.81ms,3430.71\nTransfer/sec:,1.12MB\n")
3.57ms,1.46ms,41.44ms,3430.68\nTransfer/sec:,1.12MB\n")
518.46ms,1.52s,11.98s,3430.87\nTransfer/sec:,1.12MB\n")
795.33ms,1.51s,6.15s,3859.48\nTransfer/sec:,1.26MB\n")
2.84ms,0.94ms,29.01ms,3859.46\nTransfer/sec:,1.26MB\n")
2.79ms,724.95us,20.03ms,3859.56\nTransfer/sec:,1.26MB\n")
4.87s,3.79s,13.35s,4000.14\nTransfer/sec:,1.30MB\n")
2.95ms,1.19ms,30.29ms,4288.24\nTransfer/sec:,1.40MB\n")
2.92ms,1.12ms,26.74ms,4288.18\nTransfer/sec:,1.40MB\n")
3.19ms,1.63ms,31.52ms,4716.89\nTransfer/sec:,1.54MB\n")
7.12s,4.70s,13.09s,4078.55\nTransfer/sec:,1.33MB\n")
3.18ms,1.48ms,22.16ms,4716.87\nTransfer/sec:,1.54MB\n")
4.02ms,3.09ms,28.83ms,5145.62\nTransfer/sec:,1.68MB\n")
4.62ms,4.43ms,39.97ms,5145.64\nTransfer/sec:,1.68MB\n")
4.20s,3.45s,12.21s,4691.11\nTransfer/sec:,1.53MB\n")
27.75ms,44.05ms,262.66ms,5574.14\nTransfer/sec:,1.82MB\n")
17.74ms,23.33ms,130.75ms,5574.25\nTransfer/sec:,1.82MB\n")
16.19ms,19.41ms,117.63ms,5571.08\nTransfer/sec:,1.82MB\n")
1.16s,1.79s,7.75s,4784.05\nTransfer/sec:,1.56MB\n")
860.83ms,366.39ms,1.86s,5848.02\nTransfer/sec:,1.91MB\n")
404.00ms,251.66ms,1.12s,5925.95\nTransfer/sec:,1.93MB\n")
3.23s,1.24s,5.67s,5857.79\nTransfer/sec:,1.91MB\n")
3.47s,1.29s,6.00s,5826.83\nTransfer/sec:,1.90MB\n")
6.68s,3.97s,12.68s,5321.91\nTransfer/sec:,1.74MB\n")
4.69s,1.91s,8.52s,5936.88\nTransfer/sec:,1.94MB\n")
5.08s,2.06s,8.85s,5877.09\nTransfer/sec:,1.92MB\n")
5.29s,2.21s,9.83s,5769.19\nTransfer/sec:,1.88MB\n")
5.87s,3.73s,16.47s,7289.19\nTransfer/sec:,2.38MB\n")
13.31s,3.03s,19.20s,5123.67\nTransfer/sec:,1.67MB\n")
6.66s,2.67s,11.58s,5906.32\nTransfer/sec:,1.93MB\n")
8.50s,3.35s,14.38s,5893.25\nTransfer/sec:,1.92MB\n")
8.25s,3.48s,14.64s,5877.15\nTransfer/sec:,1.92MB\n")
5.76s,4.00s,16.27s,7252.57\nTransfer/sec:,2.37MB\n")
9.88s,4.05s,17.10s,5852.17\nTransfer/sec:,1.91MB\n")
9.89s,4.00s,16.99s,5867.21\nTransfer/sec:,1.91MB\n")
9.76s,4.04s,16.83s,5905.67\nTransfer/sec:,1.93MB\n")
11.07s,4.58s,19.19s,5860.56\nTransfer/sec:,1.91MB\n")
9.11s,5.18s,21.12s,8342.35\nTransfer/sec:,2.72MB\n")
12.87s,4.42s,20.86s,5621.64\nTransfer/sec:,1.83MB\n")
12.24s,4.92s,20.96s,5894.10\nTransfer/sec:,1.92MB\n")
12.27s,5.09s,21.41s,5828.77\nTransfer/sec:,1.90MB\n")
12.46s,5.16s,21.63s,5790.34\nTransfer/sec:,1.89MB\n")
13.29s,5.48s,23.00s,5830.55\nTransfer/sec:,1.90MB\n")
15.73s,6.11s,27.61s,5627.40\nTransfer/sec:,1.84MB\n")
13.29s,5.43s,22.99s,5860.65\nTransfer/sec:,1.91MB\n")
14.37s,5.94s,24.74s,5816.44\nTransfer/sec:,1.90MB\n")
14.18s,5.88s,24.56s,5864.62\nTransfer/sec:,1.91MB\n")
14.60s,5.75s,24.77s,5834.17\nTransfer/sec:,1.90MB\n")
7.21s,4.26s,14.91s,7782.87\nTransfer/sec:,2.54MB\n")
15.47s,6.24s,26.26s,5810.23\nTransfer/sec:,1.89MB\n")
14.95s,6.20s,26.17s,5847.68\nTransfer/sec:,1.91MB\n")
